"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171.362098138748","175.344129554656","168.781911013858","163.267359946327","164.559014267185","145.093945720251","140.382916053019","133.200455580866","132.795845859524","132.433102081269","145.075757575758","141.054060167383","139.954099728771","139.123599921399","137.562896521549","135.473588342441","154.42609063956","156.654560991241","161.888183493754","162.87029623699","145.833333333333","142.239281033514","143.812104787715","148.429867411026","145.01077410891","116.572796114819","137.164339058853",
"Africa Eastern and Southern","AFE","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.1001933875481","41.3490905083459","42.209043163758","44.9475779530294","47.2619609179024","49.3253511974251","48.7571361688282","46.4345010615615","47.208597934464","45.4247313608291","63.1029055286412","64.0362557818571","60.0294655636973","57.3889593771166","58.2723265600658","60.6533714295137","61.0537083942025","67.0265759183261","74.6567888722794","64.7783360508392","64.4907807709325","64.8586101816638","62.8416401999577","62.4723929421077","59.6928997848026","54.4461507346773","52.0056042391647","51.4566911756767","54.4713331294166","51.282412512109","48.0763561934766","53.8161174000834",
"Afghanistan","AFG","Trade (% of GDP)","NE.TRD.GNFS.ZS","11.157026581176","12.5506095641626","14.2276444262674","26.0355114281704","26.9444479475307","32.6710826152849","27.1428573129252","20.9827354616946","24.110033071763","25.0788642331499","21.7281100678648","27.0631374536424","32.8690810352185","27.6923087928994","28.8659801551706","26.9483576711852","28.0869566604915","26.4860798295929","24.7138040330125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Trade (% of GDP)","NE.TRD.GNFS.ZS","33.2193942222339","33.0808017871148","29.381591436252","29.8692447708091","31.3791283101383","33.9120546610484","31.8067958696353","34.768648301933","33.6606000809309","34.6029448742232","30.3928912917332","33.4471422634241","32.8321172630819","38.3506431319164","46.7619347982793","46.3525751837409","46.866856286355","50.4224367546623","47.1688262459193","47.5311887486677","51.3262990308465","31.3224986945121","27.735344493469","25.3246458093553","25.9517942113137","27.8089447284584","25.0878306366755","31.4432924753713","28.6315701107192","40.2246639702328","37.852175071329","41.1125893897411","41.9541063509686","39.1962373532184","36.5059160853282","47.2225323997407","47.4275867894164","56.0687031412556","47.6190213761851","43.9068555746662","56.4804133590817","56.5504137856907","50.3657879670589","55.5691892273995","44.712655477556","47.0337001265041","51.3152931241918","49.9526454184491","51.2112134195874","47.3285474190431","53.475433548551","60.7952313118585","55.7679046819726","44.0048481018024","43.5426704791476","37.7278641313012","36.2972987602847","40.1766203227233","44.4266205523287","45.7707450054508","30.0165545156825","36.7110656210457",
"Angola","AGO","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","152.547109454858","150.335794690093","105.301592311218","103.901229551372","103.579947051466","106.590962129525","94.6251593320477","108.060067893978","121.364708453698","122.446126209604","104.123648293074","99.9825063313368","91.8000973419114","86.8119327587926","79.3329227828897","62.8885160890192","53.3701580675988","52.2568271631211","66.3780133263399","57.8295381183036","51.8874459204056","60.4730653435979",
"Albania","ALB","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","47.4940925041872","46.1004662837047","44.8105616083383","40.4106676033234","38.1156830212927","35.9348239721958","31.637304878056","32.159563916938","36.89787073527","40.066086463479","39.4369634031142","36.0705200632829","108.785472241159","80.518332770413","53.1025847356112","47.6105948729712","44.895444716607","45.4255562530936","48.1375348189415","51.0110303565873","63.454073132628","66.4910240323437","68.5250682234387","67.0205610427628","67.0471873068205","70.8723467754672","74.2670902393052","83.2020801053931","77.4517514962857","75.0949144008056","76.5433902447878","81.218568933066","76.5102006210933","75.8737138467897","75.4078455964825","71.801006339647","74.809862823171","78.1942739956599","76.8081181330347","76.2791946200238","59.9517494831703","74.5356647297781",
"Andorra","AND","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","59.8081337030466","60.3315302525563","63.1604915451063","83.3258362558053","74.6983896610493","83.3400888216397","77.2045253385534","81.6393155280197","79.7764875091272","82.1062412413502","86.8066617235793","88.5684373738655","84.2617512669587","75.9993204556312","72.323867446218","64.8755562234153","57.2107838955757","59.4626644632343","61.4112518566195","66.2521639569691","65.9063929549034","69.2238025402584","64.3709672389774","59.9644517690382","58.224118041471","61.6298306425659","61.1576946816665","69.4291899065136","68.0509631968792","68.0942104217649","72.6091212151194","74.1545966937674","74.4307687453152","81.1510373712098","85.5753403307962","89.7103976003284","89.9918946853581","94.1002598904724","98.0791709615542","90.3913010439456","87.610516895598","90.4626285988139","91.5771063797134","90.6294852262588","88.0318980628281","84.0942151788234","78.3180350189734","82.5640350502158","82.0521895148883","81.7362094126645","73.5223619619255","60.0919507151539",
"United Arab Emirates","ARE","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.8645799289427","93.0716588147781","102.300169490783","116.622612523831","119.552871642254","119.470669577786","136.798152865771","148.513544025723","153.461944358373","143.877475077001","151.665941869565","159.970470622298","161.100482455799","164.029509861227","169.47623670322","170.903087759838","172.803424996025","157.920573135862","167.383564925995","166.571899322058","",
"Argentina","ARG","Trade (% of GDP)","NE.TRD.GNFS.ZS","15.2080960873797","11.9898923109727","14.0755256495637","15.7809062353749","11.1274296795488","10.3764574099485","11.6426054171411","12.4926603729179","11.8881648852942","12.7974266330598","10.3374440809233","12.6151889155439","14.0356431972715","13.3221685115576","13.1915798576321","11.8027242947756","15.0968846242519","16.942286567935","14.3237963724369","12.8406846411368","11.5456724606844","14.2929774788834","15.6114860999886","14.9876701068591","12.3463814292217","18.009425070688","14.4860327921395","15.448969882952","15.743458608705","19.6377977018838","14.9908589999441","13.7530541588891","14.730980586353","16.223151447784","18.1343458669981","19.7714230903755","21.5064684057215","23.3361788437439","23.3500279730689","21.3827449624898","22.6224447777343","21.8522554515453","41.7527243585642","40.6447480311085","40.692646108947","40.5512709706238","40.4334798719151","40.945170618571","40.4026733790382","34.0571269054879","34.9710132635696","35.2061549999644","30.5265423717108","29.3339290021037","28.4067936452275","22.4862260889792","26.0938878488799","25.2896011376779","30.7625359549926","32.6306150458499","30.2197998857878","32.97948188967",
